Species,Spawning,RepGuild1,RepGuild2,AddInfos
Tor putitora,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Migrate from the lower to the middle reaches of streams or rivers to spawn (Ref. 40949). Spawning takes place during low phase of flood (Ref. 56197). Fry are found among stones in marginal areas of the stream (Ref. 56197).
Totoaba macdonaldi,NA,nonguarders,open water/substratum egg scatterers,NA
Toxotes jaculatrix,NA,nonguarders,NA,NA
Trachurus japonicus,NA,nonguarders,open water/substratum egg scatterers,NA
Trematomus bernacchii,one clear seasonal peak per year,nonguarders,NA,"Although members of this Family are known to tend to egg masses, it is assumed that because of the high fecundity, this species is a non-guarder (RF), to be corrected if direct information becomes available."
Trematomus lepidorhinus,NA,NA,NA,NA
Trematomus loennbergii,NA,NA,NA,NA
Trichiurus lepturus,variable throughout range,nonguarders,open water/substratum egg scatterers,      
Trichogaster fasciata,NA,guarders,nesters,Male defends the bubble-nest. Lays 500-600 eggs.
Trichopodus leerii,NA,guarders,nesters,Male guards the bubble nest.
Tridentiger trigonocephalus,NA,guarders,nesters,Oviparous (Ref. 56079).  Male guards the eggs (Ref. 205).
Trogloglanis pattersoni,NA,guarders,nesters,NA
Vinciguerria nimbaria,NA,nonguarders,open water/substratum egg scatterers,NA
Xenentodon cancila,NA,nonguarders,open water/substratum egg scatterers,"Male pursues a slow-moving female and upon catching up with the female, will begin shuddering from side to side while the pair is  oriented parallel to each other; the pair positions themselves close to submerged vegetation; male assumes a slight head-down position , with his anal fin curled under the female's vent; the pair begins trembling until a single large egg is released; each female produces about a dozen eggs per day; eggs hatch in about a week; no parental care (Ref. 44091)."
Xenomystus nigri,NA,guarders,NA,NA
Xenotilapia ochrogenys,NA,bearers,external brooders,Eggs from the cleavage phase and larvae of up to 1.20 cm TL are mouthbrooded by both parents 6.4 to 7.0 cm SL in size (Ref. 86760).
Xiphias gladius,variable throughout range,nonguarders,open water/substratum egg scatterers,"In the Atlantic Ocean, spawning occurs in the upper water layer at depths between 0 and 75 m, at temperatures around 23°C, and salinity of 33.8 to 37.4 ppt.
The distribution of larval broadbill swordfish in the Pacific Ocean indicates that spawning occurs mainly in waters with a temperature of 24°C or more. Spawning appears to occur in all seasons in equatorial waters, but is restricted to spring and summer at higher latitudes (Ref. 30448).
Fertilisation in broadbill swordfish is external and pairing of solitary males and females is thought to occur when spawning (Ref. 9742). Broadbill swordfish are reported to spawn in the upper layers of the water column, from the surface to a depth of 75 m (Ref. 43).
Estimates of egg numbers vary considerably, from 1 million to 16 million in 168,000 g female (Ref. 9742) and 29 million in a 272,000 g female (Ref. 30372)."
Xiphophorus maculatus,NA,bearers,internal live bearers,"After 24 to 30 days gestation, 20 to 80 young are born (Ref 7020)."
Zanclus cornutus,NA,nonguarders,open water/substratum egg scatterers,NA
Zebrasoma velifer,NA,nonguarders,open water/substratum egg scatterers,Paired spawning (Ref. 240).
Zeus faber,NA,nonguarders,open water/substratum egg scatterers,No studies of their reproductive development or early life history have been undertaken in Australia (Ref. 6390). Pelagic eggs (Ref. 35388).
Zoarces viviparus,NA,bearers,internal live bearers,Fertilization occurs in August-September. Egg development lasts for one month. Total bearing time is five months (Ref. 6397).     
Pimelodus pictus,NA,NA,NA,NA
Bovichtus diacanthus,NA,NA,NA,NA
Diplomystes mesembrinus,NA,NA,NA,NA
Rhinogobius flumineus,NA,NA,NA,NA
Apareiodon affinis,NA,NA,NA,NA
Conger myriaster,NA,NA,NA,NA
Cottoperca gobio,NA,NA,NA,NA
Dasyatis akajei,NA,NA,NA,NA
Oncorhynchus mykiss irideus,NA,NA,NA,NA
Serrasalmus maculatus,NA,NA,NA,NA
Sphoeroides rubripes,NA,NA,NA,NA
Gogangra viridescens,NA,NA,NA,NA
Ompok bimaculatus,NA,NA,NA,NA
Roeboexodon guyanensis,NA,NA,NA,NA
Charax leticiae,NA,NA,NA,NA
Crenicara punctulatum,NA,NA,NA,NA
Dicrossus warzeli,NA,NA,NA,NA
Glossolepis incisus,NA,NA,NA,NA
Helostoma temminkii,NA,NA,NA,NA
Hemichromis bimaculatus,NA,NA,NA,NA
Hemichromis guttatus,NA,NA,NA,NA
Heterocharax leptogrammus,NA,NA,NA,NA
Hyporhamphus sajori,NA,NA,NA,NA
Phoxinus oxycephalus jouyi,NA,NA,NA,NA
Myleus setiger,NA,NA,NA,NA
Roeboides descalvadensis,NA,NA,NA,NA
Roeboides myersii,NA,NA,NA,NA
Roeboides prognathus,NA,NA,NA,NA
Pseudaspius hakonensis,NA,NA,NA,NA
Triportheus nematurus,NA,NA,NA,NA
Microschemobrycon callops,NA,NA,NA,NA
Apteronotus albifrons,NA,NA,NA,NA
Bovichtus variegatus,NA,NA,NA,NA
Ceratoscopelus warmingii,NA,NA,NA,NA
Chalceus guaporensis,NA,NA,NA,NA
Gymnogobius urotaenia,NA,NA,NA,NA
Coreoperca kawamebari,NA,NA,NA,NA
Cyprinion macrostomum,NA,NA,NA,NA
Etroplus maculatus,NA,NA,NA,NA
Etrumeus teres,NA,NA,NA,NA
Gastromyzon borneensis,NA,NA,NA,NA
Geophagus iporangensis,NA,NA,NA,NA
Geophagus sveni,NA,NA,NA,NA
Glyptothorax pectinopterus,NA,NA,NA,NA
Gnathopogon caerulescens,NA,NA,NA,NA
Goeldiella eques,NA,NA,NA,NA
Guianacara dacrya,NA,NA,NA,NA
Harpagifer georgianus,NA,NA,NA,NA
Hemibarbus barbus,NA,NA,NA,NA
Lepidonotothen larseni,NA,NA,NA,NA
Lestrolepis intermedia,NA,NA,NA,NA
Liza parsia,NA,NA,NA,NA
Lophiosilurus alexandri,NA,NA,NA,NA
Luciogobius guttatus,NA,NA,NA,NA
Microglanis cottoides,NA,NA,NA,NA
Mylesinus paucisquamatus,NA,NA,NA,NA
Myleus torquatus,NA,NA,NA,NA
Odontobutis obscura,NA,NA,NA,NA
Ophthalmolycus amberensis,NA,NA,NA,NA
Pseudaphritis urvillii,NA,NA,NA,NA
Pseudogobio esocinus,NA,NA,NA,NA
Pungtungia herzi,NA,NA,NA,NA
Pygocentrus piraya,NA,NA,NA,NA
Salangichthys microdon,NA,NA,NA,NA
Sardinops melanostictus,NA,NA,NA,NA
Ischikauia steenackeri,NA,NA,NA,NA
Steindachnerina brevipinna,NA,NA,NA,NA
Takifugu alboplumbeus,NA,NA,NA,NA
Tridentiger obscurus,NA,NA,NA,NA
Vomeridens infuscipinnis,NA,NA,NA,NA
Zacco platypus,NA,NA,NA,NA
Acestrorhynchus altus,NA,NA,NA,NA
Catoprion mento,NA,NA,NA,NA
Synaptura selheimi,NA,NA,NA,NA
Glossogobius olivaceus,NA,NA,NA,NA
Acestrorhynchus falcatus,NA,NA,NA,NA
Acnodon normani,NA,NA,NA,NA
Agamyxis pectinifrons,NA,NA,NA,NA
Allenbatrachus grunniens,NA,NA,NA,NA
Barbus petenyi,NA,NA,NA,NA
Batrochoglanis raninus,NA,NA,NA,NA
Brycon orbignyanus,NA,NA,NA,NA
Cephalosilurus fowleri,NA,NA,NA,NA
Chaca chaca,NA,NA,NA,NA
Channa sp.,NA,NA,NA,NA
Cichla kelberi,NA,NA,NA,NA
Cirrhinus mrigala,NA,NA,NA,NA
Cottus pollux,NA,NA,NA,NA
Cruciglanis pacifici,NA,NA,NA,NA
Doederleinia berycoides,NA,NA,NA,NA
Pholis nebulosa,NA,NA,NA,NA
Favonigobius gymnauchen,NA,NA,NA,NA
Gasterosteus aculeatus aculeatus,NA,NA,NA,NA
Girella punctata,NA,NA,NA,NA
Gymnotus pantherinus,NA,NA,NA,NA
Batrachomoeus trispinosus,NA,NA,NA,NA
Hypodytes rubripinnis,NA,NA,NA,NA
Inimicus japonicus,NA,NA,NA,NA
Microcanthus strigatus,NA,NA,NA,NA
Oncorhynchus mykiss (species in domain Eukaryota),NA,NA,NA,NA
Oncorhynchus masou masou,NA,NA,NA,NA
Ophisurus macrorhynchos,NA,NA,NA,NA
Pangasius polyuranodon,NA,NA,NA,NA
Parapercis sexfasciata,NA,NA,NA,NA
Ophichthus zophistius,NA,NA,NA,NA
Pleuragramma antarctica,NA,NA,NA,NA
Pogonophryne scotti,NA,NA,NA,NA
Polypterus bichir,NA,NA,NA,NA
Psenopsis anomala,NA,NA,NA,NA
Pseudopimelodus bufonius,NA,NA,NA,NA
Pterogobius elapoides,NA,NA,NA,NA
Pterogobius virgo,NA,NA,NA,NA
Pyrrhulina australis,NA,NA,NA,NA
Repomucenus richardsonii,NA,NA,NA,NA
Rita rita,NA,NA,NA,NA
Oncorhynchus mykiss gairdneri,NA,NA,NA,NA
Sargocentron sp.,NA,NA,NA,NA
Sebastes hubbsi,NA,NA,NA,NA
Steindachneridion parahybae,NA,NA,NA,NA
Stephanolepis cirrhifer,NA,NA,NA,NA
Symphysodon aequifasciata,NA,NA,NA,NA
Takifugu pardalis,NA,NA,NA,NA
Takifugu xanthopterus,NA,NA,NA,NA
Tetraodon fluviatilis,NA,NA,NA,NA
Thamnaconus modestus,NA,NA,NA,NA
Toxotes chatareus,NA,NA,NA,NA
Utiaritichthys sennaebragai,NA,NA,NA,NA
Agoniates halecinus,NA,NA,NA,NA
Astyanax altiparanae,NA,NA,NA,NA
Chalceus erythrurus,NA,NA,NA,NA
Cynodon gibbus,NA,NA,NA,NA
Hoplerythrinus unitaeniatus,NA,NA,NA,NA
Paraliparis devriesi,NA,NA,NA,NA
Salminus hilarii,NA,NA,NA,NA
Boleophthalmus pectinirostris,NA,NA,NA,NA
Gadus morhua (species in domain Eukaryota),NA,NA,NA,NA
Haplochromis sp.,NA,NA,NA,NA
Gadella jordani,NA,NA,NA,NA
Bregmaceros japonicus,NA,NA,NA,NA
Coelorinchus smithi,NA,NA,NA,NA
Delturus carinotus,NA,NA,NA,NA
Pimelodus argenteus,NA,NA,NA,NA
Liparis liparis,NA,NA,NA,NA
Sinibotia reevesae,NA,NA,NA,NA
Haplochromis burtoni,NA,NA,NA,NA
Oncorhynchus masou ishikawae,NA,NA,NA,NA
Pungitius pungitius pungitius,NA,NA,NA,NA
Lateolabrax maculatus,NA,NA,NA,NA
Salvelinus leucomaenis pluvius,NA,NA,NA,NA
Myxocyprinus asiaticus,NA,NA,NA,NA
Rineloricaria heteroptera,NA,NA,NA,NA
Periophthalmus modestus,NA,NA,NA,NA
Odontobutis sinensis,NA,NA,NA,NA
Salmo trutta fario,NA,NA,NA,NA
Centroscymnus owstoni,NA,NA,NA,NA
Aluterus scriptus,NA,NA,NA,NA
Trichogenes longipinnis,NA,NA,NA,NA
Austrolebias charrua,NA,NA,NA,NA
Austrolebias affinis,NA,NA,NA,NA
Boulengerella cuvieri,NA,NA,NA,NA
Caenotropus labyrinthicus,NA,NA,NA,NA
Citharinus latus,NA,NA,NA,NA
Cottoperca trigloides,NA,NA,NA,NA
Cottus carolinae,NA,NA,NA,NA
Mimagoniates rheocharis,NA,NA,NA,NA
Moenkhausia xinguensis,NA,NA,NA,NA
Oligosarcus pintoi,NA,NA,NA,NA
Probolodus heterostomus,NA,NA,NA,NA
Pseudocrenilabrus multicolor victoriae,NA,NA,NA,NA
Triglachromis otostigma,NA,NA,NA,NA
Microlepidogaster perforatus,NA,NA,NA,NA
Eurycheilichthys pantherinus,NA,NA,NA,NA
Acestridium discus,NA,NA,NA,NA
Neoplecostomus langeanii,NA,NA,NA,NA
Otothyris rostrata,NA,NA,NA,NA
Epactionotus bilineatus,NA,NA,NA,NA
Chauliocheilos saxatilis,NA,NA,NA,NA
Neoplecostomus microps,NA,NA,NA,NA
Oxyropsis wrightiana,NA,NA,NA,NA
Plesioptopoma curvidens,NA,NA,NA,NA
Corumbataia cuestae,NA,NA,NA,NA
Otothyropsis marapoama,NA,NA,NA,NA
Neoplecostomus yapo,NA,NA,NA,NA
Neoplecostomus ribeirensis,NA,NA,NA,NA
Schizolecis guntheri,NA,NA,NA,NA
Pareiorhina rudolphi,NA,NA,NA,NA
Neoplecostomus selenae,NA,NA,NA,NA
Isbrueckerichthys duseni,NA,NA,NA,NA
Gymnotocinclus anosteos,NA,NA,NA,NA
Parotocinclus jumbo,NA,NA,NA,NA
Pareiorhina carrancas,NA,NA,NA,NA
Parotocinclus prata,NA,NA,NA,NA
Parotocinclus maculicauda,NA,NA,NA,NA
Hisonotus francirochai,NA,NA,NA,NA
Curculionichthys insperatus,NA,NA,NA,NA
Neoplecostomus corumba,NA,NA,NA,NA
Kronichthys subteres,NA,NA,NA,NA
Hisonotus notatus,NA,NA,NA,NA
Pareiorhaphis hystrix,NA,NA,NA,NA
Rhinolekos britskii,NA,NA,NA,NA
Rineloricaria lanceolata,NA,NA,NA,NA
Rineloricaria latirostris,NA,NA,NA,NA
Neolebias unifasciatus,NA,NA,NA,NA
